newtown_place_id,district_place_id,project_role
newtown:molit:g1:bundang,district:tpsis:41135KL1989001,PRIMARY
newtown:molit:g1:ilsan,district:tpsis:41283KL2006001,PRIMARY
newtown:molit:g1:pyeongchon,district:tpsis:41173KL1989001,PRIMARY
newtown:molit:g1:sanbon,district:tpsis:41410KH1988001,PRIMARY
newtown:molit:g1:jungdong,district:tpsis:41195KL1989001,PRIMARY
newtown:molit:g2:pangyo,district:tpsis:41135MX2001001,PRIMARY
newtown:molit:g2:dongtan1,district:tpsis:41590KL2001001,PRIMARY
newtown:molit:g2:dongtan2,district:tpsis:41590MX2008001,PRIMARY
newtown:molit:g2:gimpo-hangang,district:tpsis:41570KL2005001,PRIMARY
newtown:molit:g2:paju-unjeong,district:tpsis:41480MX2001001,PRIMARY
newtown:molit:g2:paju-unjeong,district:tpsis:41480KH2007003,PHASE
newtown:molit:g2:gwanggyo,district:tpsis:41115MX2004001,PRIMARY
newtown:molit:g2:yangju,district:tpsis:41630KL2004002,PRIMARY
newtown:molit:g2:yangju,district:tpsis:41630KH2006001,PHASE
newtown:molit:g2:wirye,district:tpsis:11710KL2006001,PRIMARY
newtown:molit:g2:pyeongtaek-godeok,district:tpsis:41220MX2006001,PRIMARY
newtown:molit:g2:incheon-geomdan,district:tpsis:28260MX2007002,PRIMARY
newtown:molit:g2:asan,district:tpsis:44200KH2005001,PRIMARY
newtown:molit:g2:asan,district:tpsis:44200KH2002001,PHASE
newtown:molit:g2:daejeon-doan,district:tpsis:30170MX2001001,PRIMARY
newtown:molit:g3:namyangju-wangsuk,district:tpsis:41360MX2019001,PRIMARY
newtown:molit:g3:namyangju-wangsuk,district:tpsis:41360MX2019002,PHASE
newtown:molit:g3:hanam-gyosan,district:tpsis:41450MX2019001,PRIMARY
newtown:molit:g3:incheon-gyeyang,district:tpsis:28245MX2019001,PRIMARY
newtown:molit:g3:goyang-changneung,district:tpsis:41280MX2020001,PRIMARY
newtown:molit:g3:bucheon-daejang,district:tpsis:41190MX2020001,PRIMARY
