newtown_id,generation,name_ko,aliases,district_codes,source_id,official_source_url
newtown:molit:1:bundang,1,분당신도시,분당|성남분당|성남분당신도시,41135KL1989001,molit_newtown_1_2,https://www.molit.go.kr/USR/BORD0201/m_67/DTL.jsp?idx=220450&mode=view
newtown:molit:1:ilsan,1,일산신도시,일산|고양일산|고양일산신도시,41283KL2006001,molit_newtown_1_2,https://www.molit.go.kr/USR/BORD0201/m_67/DTL.jsp?idx=220450&mode=view
newtown:molit:1:pyeongchon,1,평촌신도시,평촌|안양평촌|안양평촌신도시,41173KL1989001,molit_newtown_1_2,https://www.molit.go.kr/USR/BORD0201/m_67/DTL.jsp?idx=220450&mode=view
newtown:molit:1:sanbon,1,산본신도시,산본|군포산본|군포산본신도시,41410KH1988001,molit_newtown_1_2,https://www.molit.go.kr/USR/BORD0201/m_67/DTL.jsp?idx=220450&mode=view
newtown:molit:1:jungdong,1,중동신도시,중동|부천중동|부천중동신도시,41195KL1989001,molit_newtown_1_2,https://www.molit.go.kr/USR/BORD0201/m_67/DTL.jsp?idx=220450&mode=view
newtown:molit:2:pangyo,2,성남판교신도시,판교|판교신도시|성남판교,41135MX2001001,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:dongtan1,2,화성동탄1신도시,동탄1|동탄1신도시|화성동탄1,41590KL2001001,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:dongtan2,2,화성동탄2신도시,동탄2|동탄2신도시|화성동탄2,41590MX2008001,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:gimpo-hangang,2,김포한강신도시,김포한강|한강신도시,41570KL2005001,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:paju-unjeong,2,파주운정신도시,운정|운정신도시|파주운정,41480MX2001001|41480KH2007003,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:gwanggyo,2,광교신도시,광교|수원광교,41115MX2004001,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:yangju-okjeong-hoecheon,2,양주신도시,양주신도시(옥정·회천)|양주옥정회천|옥정신도시|회천신도시,41630KL2004002|41630KH2006001,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:wirye,2,위례신도시,위례,11710KL2006001,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:godeok-international,2,고덕국제화신도시,고덕국제화|평택고덕|평택고덕국제화|고덕국제신도시,41220MX2006001,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:incheon-geomdan,2,인천검단신도시,검단신도시|인천검단,28260MX2007002,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:asan,2,아산신도시,아산(탕정·배방)|아산탕정배방|탕정신도시|배방신도시,44200KH2005001|44200KH2002001,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:2:daejeon-doan,2,대전도안신도시,도안신도시|대전도안,30170MX2001001,molit_newtown_2,https://www.molit.go.kr/USR/policyData/m_34681/dtl.jsp?id=522
newtown:molit:3:namyangju-wangsuk,3,남양주왕숙신도시,왕숙신도시|남양주왕숙|남양주왕숙2,41360MX2019001|41360MX2019002,molit_newtown_3,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95085094
newtown:molit:3:hanam-gyosan,3,하남교산신도시,교산신도시|하남교산,41450MX2019001,molit_newtown_3,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95085094
newtown:molit:3:incheon-gyeyang,3,인천계양신도시,계양신도시|인천계양|인천계양테크노밸리,28245MX2019001,molit_newtown_3,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95085094
newtown:molit:3:goyang-changneung,3,고양창릉신도시,창릉신도시|고양창릉,41280MX2020001,molit_newtown_3,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95085094
newtown:molit:3:bucheon-daejang,3,부천대장신도시,대장신도시|부천대장,41190MX2020001,molit_newtown_3,https://www.molit.go.kr/mta/USR/N0201/m_36770/dtl.jsp?id=95085094
